,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,WUPSame,,,,,,,
,,,,,,,,,,,,
,,,,Result in terms of measure ------------>,ndcg_cut_5,p_5,p_10,recip_rank,ndcg,map,bpref,rprec
,,,,,,,,,,,,
,,,,Measure to tune downwards (V),,,,,,,,
,,,,map_cut_5,0.2764,0.4172,0.4052,0.6238,0.6555,0.4227,0.4349,0.3621
,,,,map_cut_10,0.2883,0.4379,0.4259,0.5936,0.6581,0.4279,0.4406,0.3659
,,,,map_cut_15,0.295,0.4483,0.4379,0.6063,0.6649,0.4397,0.44,0.3798
,,,,map_cut_20,0.2874,0.4448,0.4328,0.6136,0.6637,0.4391,0.4474,0.3792
,,,,map_cut_30,0.2775,0.4207,0.4224,0.5974,0.6632,0.4394,0.4503,0.3818
,,,,Rprec,0.2813,0.4138,0.4379,0.5841,0.6686,0.446,0.4681,0.3947
,,,,bpref,0.295,0.4345,0.4259,0.5772,0.6689,0.4435,0.4625,0.4007
,,,,recall_5,0.2814,0.431,0.4259,0.6238,0.6574,0.4279,0.4429,0.371
,,,,recall_10,0.272,0.4172,0.4069,0.5931,0.6558,0.424,0.4436,0.3735
,,,,recall_15,0.3125,0.4586,0.4259,0.6028,0.6669,0.4404,0.45,0.391
,,,,recall_20,0.2606,0.4069,0.4086,0.5431,0.6542,0.4325,0.4583,0.3897
,,,,recall_30,0.2311,0.3517,0.3724,0.486,0.6355,0.4066,0.4511,0.3588
,,,,,,,,,,,,
,,,,,0.3125,0.4586,0.4414,0.6282,0.6689,0.446,0.4681,0.4007
